Time (TU),X (LU),Y (LU),Z (LU),VX (LU/TU),VY (LU/TU),VZ (LU/TU)
0,1.0273132294452039,3.8675798104630464e-27,-0.18551533506611556,2.204603445861928e-14,-0.11449886110106612,4.0753793820150663e-13
0.004003420949797515,1.0273120736893837,-0.00045838207096805475,-0.1855114400154011,-0.0005773832338495139,-0.11449506311616307,0.0019458670736901226
0.012279689480823645,1.0273023558589254,-0.001405864191868093,-0.1854786882350439,-0.0017709618972023824,-0.11446312563274104,0.005968860210461578
0.02055977570465542,1.0272827488389091,-0.0023533843331580854,-0.18541259952463998,-0.0029649532086536852,-0.11439866978862707,0.009994637103144587
0.02884466925160053,1.0272532363664009,-0.0033007855609268537,-0.18531310361346823,-0.004159406406039306,-0.11430160619662237,0.01402430860639551
0.037134765352644594,1.027213801403653,-0.00424784149709111,-0.18518011972675705,-0.005354284402924283,-0.11417182452350416,0.018058701945440826
0.04543046509914343,1.0271644257617354,-0.0051943247797013314,-0.18501355522286303,-0.006549550217622426,-0.11400919197010496,0.022098653949380324
0.05373219666677577,1.0271050899076946,-0.006140009205631968,-0.18481330482746303,-0.007745169884451014,-0.11381355228163179,0.026145022911501708
0.06204037529424986,1.027035773168361,-0.007084664880461008,-0.18457925118431592,-0.008941106537511586,-0.11358472599040663,0.03019867066358517
0.0703554539730374,1.0269564533031323,-0.008028063692375456,-0.18431126325360073,-0.01013732755394464,-0.11332250849939825,0.034260488919293626
0.07867791094687189,1.0268671064305719,-0.0089699775545859,-0.18400919587840278,-0.011333802583119394,-0.11302666924457586,0.03833139493583552
0.08700824063166307,1.026767707003294,-0.009910177032147157,-0.18367288948850177,-0.012530502064470143,-0.11269695092712394,0.042412328901946995
0.09534696009779553,1.0266582276359515,-0.010848431716161216,-0.18330216927976403,-0.013727397975356548,-0.1123330681624025,0.04650425902505476
0.10369461552828725,1.0265386388886648,-0.011784510562656628,-0.18289684421148153,-0.014924464561308005,-0.11193470587288105,0.05060818674587102
0.11205176528685687,1.0264089093828639,-0.012718179584926062,-0.1824567070977793,-0.016121675700681428,-0.11150151867354371,0.05472514058075065
0.12041897576620014,1.0262690058192392,-0.013649200985939802,-0.1819815343368226,-0.01731900410093679,-0.11103312981742519,0.058856176309861195
0.12879680583570885,1.026118893238576,-0.014577331024109028,-0.18147108643342943,-0.018516418860325935,-0.11052913083327588,0.06300237162045202
0.13718579600708228,1.0259585353033984,-0.015502318429978014,-0.1809251085642489,-0.01971388370963408,-0.10998908111477575,0.06716482311393017
0.14558641751607448,1.0257878954978734,-0.016423898463281794,-0.18034333424765017,-0.02091134954898558,-0.10941251049365856,0.07134462338293816
0.15399902485503347,1.0256069386195652,-0.01734178752604776,-0.1797254900103687,-0.022108747534760248,-0.10879892274060782,0.07554283947940608
0.16242379437216736,1.0254156329392425,-0.018255676474777965,-0.17907130235536822,-0.023305980256820052,-0.1081478013118258,0.07976048399638468
0.17086065327793537,1.0252139530388549,-0.019165223202884774,-0.1783805071008661,-0.02450291165936934,-0.1074586174557688,0.08399848067567124
0.17930911480396786,1.0250018855725054,-0.020070035600036402,-0.17765286884252035,-0.025699343821665763,-0.10673084850019601,0.08825758171563253
0.18776815609049885,1.0247794350610016,-0.020969659924575508,-0.17688820074947048,-0.02689500008932671,-0.10596399670763824,0.09253830454073325
0.1962359743654345,1.0245466339765623,-0.0218635571965439,-0.17608639941413745,-0.028089491352930453,-0.10515762359430247,0.09684080448800121
0.20470973312699087,1.0243035548550414,-0.022751080094090378,-0.1752474872023948,-0.029282281488380416,-0.10431139247993419,0.1011647382526429
0.21318522933750209,1.0240503266031895,-0.02363144349345904,-0.17437166980061802,-0.030472642391285786,-0.10342512737963547,0.1055090817229927
0.22165656153215896,1.0237871530969191,-0.02450369757790707,-0.1734594026908966,-0.03165961007028437,-0.10249888241329508,0.10987194121981261
0.23011575225115694,1.0235143355377052,-0.025366699062787646,-0.17251147193491542,-0.03284193541700298,-0.101533027713466,0.11425033283640304
0.23855250288218924,1.0232322927997333,-0.02621909902700891,-0.17152906954568473,-0.03401805468592693,-0.10052833232741917,0.11864002070571565
0.24695409135244176,1.0229415781847706,-0.027059347691404674,-0.17051385797239987,-0.03518608090281123,-0.09948603871423992,0.1230354210474291
0.25530558128261127,1.0226428851373472,-0.027885731765189086,-0.16946799750711392,-0.036343839206430674,-0.0984079018224918,0.12742966315996254
0.2635904075267072,1.0223370368142424,-0.028696448182289495,-0.16839411800571644,-0.03748895416921427,-0.09729617258637376,0.13181484851174546
0.27179135128966564,1.0220249559094903,-0.029489712132837895,-0.1672952210741458,-0.03861898964864015,-0.09615350970224866,0.13618252459469343
0.27989170514963463,1.0217076196753883,-0.03026387662377412,-0.16617452859394946,-0.0397316123280412,-0.09498283378807916,0.14052427768963702
0.287876427794403,1.0213860071388774,-0.031017542442591087,-0.16503530101768762,-0.04082475064278573,-0.09378714622986624,0.14483234409144985
0.2957330421363868,1.0210610494026853,-0.03174963511204168,-0.16388066323785555,-0.04189671523892046,-0.09256935093288249,0.14910010869373935
0.3034521012889242,1.020733593063447,-0.032459434540655197,-0.1627134737563407,-0.042946257736156616,-0.0913321165154917,0.1533223907573403
0.31102722982302716,1.0204043800839198,-0.03314656163060467,-0.1615362499136507,-0.04397257012667971,-0.09007779363113054,0.15749551108727208
0.3184548480289494,1.020074042610911,-0.03381093524468912,-0.16035114497286482,-0.044975240778118805,-0.08880838471650777,0.1616171893568416
0.32573370866621476,1.0197431090709397,-0.03445271393048466,-0.15915996504667,-0.04595418560792701,-0.087525555113445,0.16568633475105354
